stock_id,Date,Open,High,Low,Close,Volume
8,28/11/2023 16:00:00,47.81,48.05,47.6,47.9,2890164
8,29/11/2023 16:00:00,47.9,48.1,47.45,47.72,2855540
8,30/11/2023 16:00:00,47.53,47.86,47.04,47.4,4287349
8,01/12/2023 16:00:00,47.32,47.52,46.46,46.57,4341471
8,04/12/2023 16:00:00,46.1,46.12,45.12,45.39,5157713
8,05/12/2023 16:00:00,45.07,45.64,44.96,45.52,3380674
8,06/12/2023 16:00:00,46,46.05,44.57,44.67,4178755
8,07/12/2023 16:00:00,45.09,45.29,44.83,45.2,3506722
8,08/12/2023 16:00:00,45.08,45.55,45.08,45.38,3458384
8,11/12/2023 16:00:00,45.94,47.07,45.72,45.99,4929662
8,12/12/2023 16:00:00,46.52,46.56,45.92,46.3,3302660
8,13/12/2023 16:00:00,46.2,48.13,46.2,48,5820192
8,14/12/2023 16:00:00,48.04,48.08,46.48,46.98,5176437
8,15/12/2023 16:00:00,46.73,47.3,46.73,47.21,7840992
8,18/12/2023 16:00:00,47.63,49.2,47.51,48.61,6410660
8,19/12/2023 16:00:00,48.84,49.61,48.41,49.5,3849014
8,20/12/2023 16:00:00,49.2,50.09,48.84,48.93,4563690
8,21/12/2023 16:00:00,49.27,49.44,48.68,49.16,2756225
8,22/12/2023 16:00:00,49.4,49.6,48.55,48.68,2702672
8,26/12/2023 16:00:00,48.94,49.15,48.64,49.12,2034517
8,27/12/2023 16:00:00,49.12,49.4,48.93,49.18,2561330
8,28/12/2023 16:00:00,49.2,49.29,48.91,49.05,1710492
8,29/12/2023 16:00:00,49.04,49.22,48.19,48.69,2740555
8,02/01/2024 16:00:00,48.32,48.47,46.19,46.85,5049423
8,03/01/2024 16:00:00,46.73,47.51,46.58,47.03,3443694
8,04/01/2024 16:00:00,47.3,48.07,46.65,47.47,3636513
8,05/01/2024 16:00:00,47.65,47.95,47.18,47.41,2631250
8,08/01/2024 16:00:00,47.39,48.52,47.37,48.5,3675775
8,09/01/2024 16:00:00,47.55,48.51,47.38,48.21,3526757
8,10/01/2024 16:00:00,48.16,48.7,47.3,47.83,4342448
8,11/01/2024 16:00:00,49.25,50.34,48.38,49.22,7993265
8,12/01/2024 16:00:00,50.05,50.08,49.06,49.22,5003718
8,16/01/2024 16:00:00,49,49.42,47.8,48.12,4678974
8,17/01/2024 16:00:00,48.45,48.62,47.53,48.03,4894593
8,18/01/2024 16:00:00,48,48.58,47.8,48.53,4054399
8,19/01/2024 16:00:00,48.5,48.57,47.61,48.3,5672351
8,22/01/2024 16:00:00,48.76,48.98,47.99,48.57,5212309
8,23/01/2024 16:00:00,49.2,49.9,48.14,49.22,15506024
8,24/01/2024 16:00:00,53.78,56.25,53.71,54.49,26432797
8,25/01/2024 16:00:00,55.2,56.35,54.85,56.2,9451915
8,26/01/2024 16:00:00,56.18,57.96,55.84,57.04,12770571
8,29/01/2024 16:00:00,57.14,57.85,56.27,57.58,6905390
8,30/01/2024 16:00:00,56.73,57.09,56.08,56.29,6181798
8,31/01/2024 16:00:00,56.29,57.22,56.2,56.41,4857599
8,01/02/2024 16:00:00,56.7,57.27,56.38,56.75,3174002
8,02/02/2024 16:00:00,56.45,56.78,56.24,56.46,4032843
8,05/02/2024 16:00:00,56.25,57.58,55.72,56.21,4143099
8,06/02/2024 16:00:00,56.41,56.63,55.44,55.59,2840300
8,07/02/2024 16:00:00,55.82,56.78,55.5,55.93,4373591
8,08/02/2024 16:00:00,56.06,56.37,55.57,55.85,3175468
8,09/02/2024 16:00:00,56.5,56.6,55.81,56.13,3055698
