"ticker","price_date","open_price","close_price","daily_return"
AAPL,2025-04-11,189.78,190.40,0.32669406681420592300
AAPL,2025-05-11,190.90,189.37,-0.80146673651126244100
AAPL,2025-06-11,189.84,189.95,0.05794353139485882800
AAPL,2023-01-12,190.33,191.24,0.47811695476278043400
AAPL,2023-04-12,189.98,189.43,-0.28950415833245604800
AAPL,2023-05-12,190.21,193.42,1.68760843278481678100
AAPL,2023-06-12,194.45,192.32,-1.09539727436358961200
AAPL,2023-07-12,193.63,194.27,0.33052729432422661800
AAPL,2023-08-12,194.20,195.71,0.77754891864057672500
AAPL,2023-11-12,193.11,193.18,0.03624877013101341200
AAPL,2023-12-12,193.08,194.71,0.84420965402941785800
AAPL,2024-01-12,195.09,197.96,1.47111589522784355900
AAPL,2024-02-12,198.02,198.11,0.04544995455004545000
AAPL,2024-03-12,197.53,197.57,0.02025008859413759900
AAPL,2024-06-12,196.09,195.89,-0.10199398235504105300
AAPL,2024-07-12,196.16,196.94,0.39763458401305057100
AAPL,2024-08-12,196.90,194.83,-1.05129507364144235700
AAPL,2024-09-12,196.10,194.68,-0.72412034676185619600
AAPL,2024-10-12,195.18,193.60,-0.80950917102162106800
AAPL,2025-02-12,193.61,193.05,-0.28924125819947316800
AAPL,2025-03-12,192.49,193.15,0.34287495454309314800
AAPL,2025-04-12,194.14,193.58,-0.28845163284227876800
AAPL,2025-05-12,193.90,192.53,-0.70654976792160907700
AAPL,2024-02-01,187.15,185.64,-0.80683943360940422100
AAPL,2024-03-01,184.22,184.25,0.01628487677776571500
AAPL,2024-04-01,182.15,181.91,-0.13175953884161405400
AAPL,2024-05-01,181.99,181.18,-0.44507939996703115600
AAPL,2024-08-01,182.09,185.56,1.90565105167774177600
AAPL,2024-09-01,183.92,185.14,0.66333188342757720700
AAPL,2024-10-01,184.35,186.19,0.99810143748304854900
AAPL,2024-11-01,186.54,185.59,-0.50927415031628605100
AAPL,2024-12-01,186.06,185.92,-0.07524454477050413800
AAPL,2025-04-01,182.16,183.63,0.80698287220026350500
AAPL,2025-05-01,181.27,182.68,0.77784520328791305800
AAPL,2025-06-01,186.09,188.63,1.36493094739104734300
AAPL,2025-07-01,189.33,191.56,1.17783763798658427100
AAPL,2025-10-01,192.30,193.89,0.82683307332293291700
AAPL,2025-11-01,195.02,195.18,0.08204286739821556800
AAPL,2025-12-01,195.42,194.50,-0.47078088220243577900
AAPL,2026-01-01,195.22,194.17,-0.53785472799918041200
AAPL,2026-02-01,194.27,192.42,-0.95228290523498224100
AAPL,2026-05-01,192.01,191.73,-0.14582573824279985400
AAPL,2026-06-01,190.94,188.04,-1.51880171781711532400
AAPL,2026-07-01,187.04,184.40,-1.41146278870829769000
AAPL,2024-01-02,183.99,186.86,1.55986738409696179100
AAPL,2024-02-02,179.86,185.85,3.33036806404981652400
AAPL,2024-05-02,188.15,187.68,-0.24980069093808131800
AAPL,2024-06-02,186.86,189.30,1.30579043133897035200
AAPL,2024-07-02,190.64,189.41,-0.64519513218631976500
AAPL,2024-08-02,189.39,188.32,-0.56497175141242937900
AAPL,2024-09-02,188.65,188.85,0.10601643254704479200
AAPL,2024-12-02,188.42,187.15,-0.67402611187771998700
AAPL,2025-01-02,185.77,185.04,-0.39295903536631318300
AAPL,2025-02-02,185.32,184.15,-0.63134038420030218000
AAPL,2025-03-02,183.55,183.86,0.16889131026968128600
AAPL,2025-04-02,183.42,182.31,-0.60516846581615963400
AAPL,2025-08-02,181.79,181.56,-0.12651961053963364300
AAPL,2025-09-02,181.94,182.32,0.20886006375728262100
AAPL,2025-10-02,183.48,184.37,0.48506649226073686500
AAPL,2025-11-02,185.01,182.52,-1.34587319604345711000
AAPL,2026-02-02,182.24,181.16,-0.59262510974539069400
AAPL,2026-03-02,181.10,182.63,0.84483710657095527300
AAPL,2026-04-02,182.51,181.42,-0.59722754917538765000
AAPL,2026-05-02,181.27,180.75,-0.28686489766646439000
AAPL,2024-01-03,179.55,179.66,0.06126427179058758000
AAPL,2024-04-03,176.15,175.10,-0.59608288390576213500
AAPL,2024-05-03,170.76,170.12,-0.37479503396579995300
AAPL,2024-06-03,171.06,169.12,-1.13410499240032737100
AAPL,2024-07-03,169.15,169.00,-0.08867868755542418000
AAPL,2024-08-03,169.00,170.73,1.02366863905325443800
AAPL,2024-11-03,172.94,172.75,-0.10986469295709494600
AAPL,2024-12-03,173.15,173.23,0.04620271440947155600
AAPL,2025-01-03,172.77,171.13,-0.94923887248943682400
AAPL,2025-02-03,172.91,173.00,0.05205019952576484900
AAPL,2025-03-03,171.17,172.62,0.84711105918093123800
AAPL,2025-06-03,175.57,173.72,-1.05371077063279603600
AAPL,2025-07-03,174.34,176.08,0.99804978777102214100
AAPL,2025-08-03,175.72,178.67,1.67880719326200774000
AAPL,2025-09-03,177.05,171.37,-3.20813329567918667000
AAPL,2025-10-03,171.76,172.28,0.30274802049371215600
AAPL,2026-01-03,170.57,170.85,0.16415547868910124900
AAPL,2026-02-03,170.00,169.71,-0.17058823529411764700
AAPL,2026-03-03,170.41,173.31,1.70177806466756645700
AAPL,2026-04-03,171.75,171.48,-0.15720524017467248900
AAPL,2024-01-04,171.19,170.03,-0.67760967346223494400
AAPL,2024-02-04,169.08,168.84,-0.14194464158977998600
AAPL,2024-03-04,168.79,169.65,0.50950885715978434700
AAPL,2024-04-04,170.29,168.82,-0.86323330788654648000
AAPL,2024-05-04,169.59,169.58,-0.005896574090453446547600
AAPL,2024-08-04,169.03,168.45,-0.34313435484825179000
AAPL,2024-09-04,168.70,169.67,0.57498518079430942500
AAPL,2024-10-04,168.80,167.78,-0.60426540284360189600
AAPL,2024-11-04,168.34,175.04,3.98004039443982416500
AAPL,2024-12-04,174.26,176.55,1.31412831401354298200
AAPL,2025-03-04,175.36,172.69,-1.52258211678832116800
AAPL,2025-04-04,171.75,169.38,-1.37991266375545851500
AAPL,2025-05-04,169.61,168.00,-0.94923648369789517100
AAPL,2025-06-04,168.03,167.04,-0.58918050348152115700
AAPL,2025-07-04,166.21,165.00,-0.72799470549305096000
AAPL,2025-10-04,165.52,165.84,0.19333011116481392000
AAPL,2025-11-04,165.35,166.90,0.93740550347747202900
AAPL,2025-12-04,166.54,169.02,1.48913174012249309500
AAPL,2026-01-04,169.53,169.89,0.21235179614227570300
AAPL,2026-02-04,169.88,169.30,-0.34141747115611019500
AAPL,2026-05-04,173.37,173.50,0.07498413797081386600
AAPL,2026-06-04,173.33,170.33,-1.73080251543298909600
AAPL,2024-01-05,169.58,169.30,-0.16511381059087156500
AAPL,2024-02-05,172.51,173.03,0.30143180105501130400
AAPL,2024-03-05,186.65,183.38,-1.75194213769086525600
AAPL,2024-06-05,182.35,181.71,-0.35097340279681930400
AAPL,2024-07-05,183.45,182.40,-0.57236304170073589500
AAPL,2024-08-05,182.85,182.74,-0.06015859994531036400
AAPL,2024-09-05,182.56,184.57,1.10100788781770376900
AAPL,2024-10-05,184.90,183.05,-1.00054083288263926400
AAPL,2025-01-05,185.44,186.28,0.45297670405522001700
AAPL,2025-02-05,187.51,187.43,-0.04266439123246760200
AAPL,2025-03-05,187.91,189.72,0.96322707679208131600
AAPL,2025-04-05,190.47,189.84,-0.33076074972436604200
AAPL,2025-05-05,189.51,189.87,0.18996359031185689400
AAPL,2025-08-05,189.35,191.04,0.89252706627937681500
AAPL,2025-09-05,191.09,192.35,0.65937516353550682900
AAPL,2025-10-05,192.27,190.90,-0.71253965777292349300
AAPL,2025-11-05,190.98,186.88,-2.14682165671798094000
AAPL,2025-12-05,188.82,189.98,0.61434170109098612400
AAPL,2026-04-05,191.51,189.99,-0.79369223539240770700
AAPL,2026-05-05,189.61,190.29,0.35863087389905595700
AAPL,2026-06-05,190.76,191.29,0.27783602432375760100
AAPL,2026-07-05,191.44,192.25,0.42310906811533639800
AAPL,2024-03-06,192.90,194.03,0.58579574909279419400
AAPL,2024-04-06,194.64,194.35,-0.14899301274147143400
AAPL,2024-05-06,195.40,195.87,0.24053224155578300900
AAPL,2024-06-06,195.69,194.48,-0.61832490163012928600
AAPL,2024-07-06,194.65,196.89,1.15078345748779861300
AAPL,2024-10-06,196.90,193.12,-1.91975622143219908600
AAPL,2024-11-06,193.65,207.15,6.97134004647560031000
AAPL,2024-12-06,207.37,213.07,2.74871003520277764400
AAPL,2025-01-06,214.74,214.24,-0.23283971314147341000
AAPL,2025-02-06,213.85,212.49,-0.63595978489595510900
AAPL,2025-05-06,213.37,216.67,1.54660917654778085000
AAPL,2025-06-06,217.59,214.29,-1.51661381497311457300
AAPL,2025-08-06,213.93,209.68,-1.98663114102743888200
AAPL,2025-09-06,210.39,207.49,-1.37839250914967441400
AAPL,2025-12-06,207.72,208.14,0.20219526285384171000
AAPL,2026-01-06,209.15,209.07,-0.03825005976571838400
AAPL,2026-02-06,211.50,213.25,0.82742316784869976400
AAPL,2026-03-06,214.69,214.10,-0.27481484931762075600
